Metric,Value,Model
Accuracy,0.96522153406384,随机森林
Precision,0.9912581954417732,随机森林
Recall,0.943256090314914,随机森林
F1,0.9666615923275992,随机森林
ROC AUC,0.997713198778886,随机森林
Accuracy,0.8869302842623471,逻辑回归
Precision,0.8987379807692307,逻辑回归
Recall,0.8885918003565062,逻辑回归
F1,0.8936360920227069,逻辑回归
ROC AUC,0.9516727878459468,逻辑回归
Accuracy,0.6876290296966809,K-Means
Precision,0.64004004004004,K-Means
Recall,0.949792038027332,K-Means
F1,0.7647410596818562,K-Means
Accuracy,0.9615690011116405,支持向量机
Precision,0.976219512195122,支持向量机
Recall,0.9512774806892454,支持向量机
F1,0.963587120072224,支持向量机
ROC AUC,0.9898271250851176,支持向量机
